day,views,estimated_minutes_watched,average_view_duration,average_view_percentage,subscribers_gained,subscribers_lost,net_subscribers,likes,comments,shares
2026-07-08,1457,3715,153,48.64,16,4,12,64,7,9
2026-07-09,1474,5503,224,47.46,13,3,10,60,8,11
2026-07-10,1330,4500,203,38.92,17,5,12,64,7,6
2026-07-11,2125,5985,169,41.45,25,5,20,86,12,11
2026-07-12,2066,7644,222,50.61,27,5,22,83,7,16
2026-07-13,1469,5215,213,41.41,15,3,12,56,6,10
2026-07-14,1793,6425,215,46.28,16,4,12,67,9,9
2026-07-15,1506,5999,239,50.21,13,3,10,73,5,11
2026-07-16,1792,6869,230,40.4,18,3,15,63,10,10
2026-07-17,1506,4041,161,42.14,14,3,11,57,8,7
2026-07-18,2175,7323,202,40.03,20,6,14,104,11,11
2026-07-19,2187,6561,180,40.46,26,5,21,91,9,10
2026-07-20,1852,7068,229,44.53,21,6,15,78,8,15
2026-07-21,1436,5672,237,48.67,13,3,10,51,7,6
2026-07-22,1538,5691,222,44.91,17,3,14,58,5,8
2026-07-23,1723,5255,183,45.61,20,4,16,62,9,11
2026-07-24,1731,6030,209,42.82,18,3,15,54,10,11
2026-07-25,2008,5890,176,49.32,22,3,19,66,11,9
